Brand,Model,Year,Body Type,Cylinders,Fuel Economy Highway,Fuel Economy City,Fuel Economy Average,Seats,Transmission,Make,Style,Horsepower,Fuel Type,Color,Miles Driven,Condition,Title Status,Damages,Number of Owners,Title Available,Payment Status,Sale Price
Mercedes,GLC,2011,Truck,8,28.2,22.3,25.2,2,CVT,Mercedes,Mercedes GLC Truck,409,Hybrid,Black,93528,New,Salvage,Flood Damage,4,Not Available,Unpaid,63689.97
Subaru,Legacy,2008,Coupe,8,23.9,15.9,19.9,7,Automatic,Subaru,Subaru Legacy Coupe,333,Hybrid,Black,109029,New,Clean,None,5,Not Available,Unpaid,52711.49
Toyota,Tacoma,1998,Wagon,3,16.3,11.5,13.9,2,CVT,Toyota,Toyota Tacoma Wagon,316,Hybrid,Black,111955,New,Salvage,Severe Collision,3,Not Available,Unpaid,32447.58
BMW,5 Series,2018,Sedan,6,16.8,12.3,14.6,2,Dual-Clutch,BMW,BMW 5 Series Sedan,178,Hybrid,Black,233108,Used,Rebuilt,Severe Collision,4,Available,Unpaid,51553.15
Subaru,Forester,2008,Sedan,6,32.1,25.3,28.7,6,Automatic,Subaru,Subaru Forester Sedan,168,Hybrid,Black,139855,Used,Rebuilt,Flood Damage,1,Not Available,Unpaid,36463.66
Honda,CR-V,1997,Hatchback,4,19.9,16.9,18.4,2,Dual-Clutch,Honda,Honda CR-V Hatchback,397,Hybrid,Black,6399,Used,Clean,None,5,Available,Paid,37348.48
Nissan,Frontier,2020,SUV,6,33.2,27.6,30.4,3,Dual-Clutch,Nissan,Nissan Frontier SUV,593,Hybrid,Black,239779,Used,Clean,None,4,Not Available,Unpaid,46901.95
Chevrolet,Silverado,2012,Truck,4,22.5,17.4,19.9,5,Dual-Clutch,Chevrolet,Chevrolet Silverado Truck,577,Hybrid,Black,243303,Used,Rebuilt,Severe Collision,3,Not Available,Paid,53441.36
Honda,Pilot,2001,Truck,3,24.2,19.3,21.8,3,Dual-Clutch,Honda,Honda Pilot Truck,402,Hybrid,Black,78420,New,Salvage,Frame Damage,5,Available,Paid,52179.69
BMW,3 Series,2022,Hatchback,12,29.5,21.6,25.6,6,Automatic,BMW,BMW 3 Series Hatchback,239,Hybrid,Black,17464,New,Clean,None,1,Not Available,Unpaid,13671
Toyota,Highlander,2005,Coupe,4,34.3,28.2,31.2,5,Manual,Toyota,Toyota Highlander Coupe,318,Hybrid,Black,136529,New,Clean,None,2,Available,Unpaid,19142.27
Mercedes,C-Class,2007,Sedan,3,28.9,25.5,27.2,3,Dual-Clutch,Mercedes,Mercedes C-Class Sedan,208,Hybrid,Black,86489,Used,Clean,None,1,Available,Paid,67773.38
Ford,Explorer,1998,Hatchback,6,18,13.1,15.6,7,Dual-Clutch,Ford,Ford Explorer Hatchback,519,Hybrid,Black,116523,Used,Clean,None,5,Not Available,Unpaid,54461.34
Mercedes,GLE,2022,Wagon,4,14,11.3,12.7,2,CVT,Mercedes,Mercedes GLE Wagon,335,Hybrid,Black,249933,Used,Salvage,Flood Damage,3,Available,Paid,48979.15
Honda,Accord,2007,Convertible,12,13.6,10.4,12,7,Manual,Honda,Honda Accord Convertible,124,Hybrid,Black,236288,Used,Rebuilt,Frame Damage,3,Available,Unpaid,51494.24
Nissan,Rogue,2001,Wagon,8,30.8,23.3,27.1,2,Manual,Nissan,Nissan Rogue Wagon,382,Hybrid,Black,168443,Used,Rebuilt,Severe Collision,1,Not Available,Unpaid,37800.42
Honda,Pilot,2006,Hatchback,3,22.6,16.4,19.5,5,CVT,Honda,Honda Pilot Hatchback,561,Hybrid,Black,143427,Used,Salvage,Frame Damage,2,Not Available,Paid,49857.59
Hyundai,Tucson,2021,Coupe,10,30.7,24.8,27.8,7,CVT,Hyundai,Hyundai Tucson Coupe,224,Hybrid,Black,41659,New,Clean,None,4,Not Available,Paid,37095.51
Mercedes,GLE,2004,Truck,4,29,24.9,26.9,4,CVT,Mercedes,Mercedes GLE Truck,566,Hybrid,Black,156412,Used,Rebuilt,Flood Damage,5,Available,Unpaid,46254.14
Mercedes,S-Class,2019,Wagon,12,29.3,24.8,27.1,3,Manual,Mercedes,Mercedes S-Class Wagon,594,Hybrid,Black,98949,New,Salvage,Frame Damage,5,Available,Paid,50510.93
